iter	Logloss
0	0.6927322987
1	0.6923197239
2	0.6919053483
3	0.6915024206
4	0.6910887836
5	0.6906797919
6	0.6902673182
7	0.6898595197
8	0.6894513494
9	0.6890493164
10	0.6886459991
11	0.6882447842
12	0.6878389434
13	0.6874407808
14	0.6870353432
15	0.6866338495
16	0.6862288761
17	0.6858273986
18	0.6854359735
19	0.6850400627
20	0.684643194
21	0.6842455154
22	0.6838491482
23	0.683456846
24	0.6830592185
25	0.6826697899
26	0.6822779787
27	0.6818838588
28	0.6814972096
29	0.6811119225
30	0.6807215642
31	0.680334912
32	0.6799547687
33	0.6795752139
34	0.6791858866
35	0.6788000501
36	0.6784129936
37	0.6780271178
38	0.6776451784
39	0.6772603727
40	0.6768747965
41	0.6764910296
42	0.676107551
43	0.6757247125
44	0.6753453675
45	0.6749666368
46	0.6745904716
47	0.67421007
48	0.6738342017
49	0.6734570371
50	0.6730818726
51	0.6727139037
52	0.6723391152
53	0.6719672107
54	0.6715957096
55	0.6712216579
56	0.6708496599
57	0.6704831031
58	0.6701154821
59	0.6697453479
60	0.6693776963
61	0.6690118872
62	0.6686430644
63	0.668282596
64	0.6679303419
65	0.6675668
66	0.6672095018
67	0.666846181
68	0.6664899741
69	0.6661262359
70	0.6657629534
71	0.6654107443
72	0.6650496954
73	0.6646884438
74	0.6643298015
75	0.663981821
76	0.6636232475
77	0.6632649716
78	0.6629084558
79	0.6625521822
80	0.6621963506
81	0.6618401114
82	0.6614879177
83	0.6611384489
84	0.6607868421
85	0.6604309568
86	0.6600792591
87	0.6597356896
88	0.6593838359
89	0.6590327423
90	0.6586807259
91	0.6583312173
92	0.6579800884
93	0.657633226
94	0.6572974621
95	0.6569531857
96	0.6566149993
97	0.6562766252
98	0.655933344
99	0.6555896693
