iter	Passed	Remaining
0	4	452
1	8	401
2	10	354
3	13	333
4	17	323
5	20	314
6	23	306
7	25	296
8	29	293
9	32	296
10	36	292
11	39	288
12	42	286
13	45	278
14	49	282
15	53	279
16	56	277
17	59	272
18	63	268
19	64	259
20	67	255
21	70	249
22	73	244
23	75	240
24	78	236
25	83	236
26	87	235
27	91	234
28	94	231
29	99	232
30	103	229
31	107	228
32	109	222
33	112	218
34	115	215
35	118	210
36	121	206
37	124	203
38	127	199
39	130	195
40	132	191
41	135	187
42	138	183
43	140	179
44	143	175
45	146	171
46	148	167
47	151	164
48	154	160
49	157	157
50	159	153
51	162	149
52	164	146
53	167	142
54	170	139
55	173	136
56	176	132
57	178	129
58	181	126
59	184	123
60	187	119
61	190	116
62	192	113
63	195	110
64	197	106
65	200	103
66	202	99
67	205	96
68	208	93
69	211	90
70	214	87
71	217	84
72	220	81
73	222	78
74	225	75
75	228	72
76	231	69
77	234	66
78	236	62
79	239	59
80	242	56
81	245	53
82	248	50
83	251	47
84	253	44
85	256	41
86	260	38
87	263	35
88	265	32
89	268	29
90	271	26
91	274	23
92	277	20
93	279	17
94	281	14
95	284	11
96	287	8
97	290	5
98	292	2
99	295	0
